property_name,listing_href,price,floor_area,property_address,is_studio,is_room,property_type,currency,num_bedrooms,num_bathrooms,price_period,build_year,furnished,district_code
469A SENGKANG WEST WAY,https://www.propertyguru.com.sg/listing/hdb-for-rent-469a-sengkang-west-way-24214092,4500,1216,469A Sengkang West Way,False,False,HDB Flat,S$ ,3.0,2.0,/mo,2015.0,Partially Furnished,D28
SELETAR HILLS ESTATE,https://www.propertyguru.com.sg/listing/24065477/for-rent-seletar-hills-estate,13900,4600,30 Jalan Redop,False,False,Semi-Detached House,S$ ,5.0,7.0,/mo,,Partially Furnished,D28
HIGH PARK RESIDENCES,https://www.propertyguru.com.sg/listing/24226304/for-rent-high-park-residences,3600,667,27 Fernvale Road,False,False,Condominium,S$ ,2.0,2.0,/mo,2019.0,Partially Furnished,D28
SELETAR HILLS ESTATE,https://www.propertyguru.com.sg/listing/24122387/for-rent-seletar-hills-estate,16000,6008,1 Jalan Kechubong,False,False,Semi-Detached House,S$ ,7.0,6.0,/mo,,,D28
SELETAR PARK,https://www.propertyguru.com.sg/listing/24158455/for-rent-seletar-park,10000,5000,,False,False,Semi-Detached House,S$ ,5.0,6.0,/mo,1986.0,,D28
SELETAR PARK,https://www.propertyguru.com.sg/listing/23612402/for-rent-seletar-park,10000,5000,6 Seletar Crescent,False,False,Semi-Detached House,S$ ,6.0,6.0,/mo,1986.0,,D28
HIGH PARK RESIDENCES,https://www.propertyguru.com.sg/listing/22021604/for-rent-high-park-residences,5200,872,21 Fernvale Road,False,False,Condominium,S$ ,3.0,2.0,/mo,2019.0,Partially Furnished,D28
SELETAR PARK RESIDENCE,https://www.propertyguru.com.sg/listing/22598415/for-rent-seletar-park-residence,4200,872,19 Seletar Road,False,False,Condominium,S$ ,2.0,2.0,/mo,2015.0,Partially Furnished,D28
443B FERNVALE ROAD,https://www.propertyguru.com.sg/listing/hdb-for-rent-443b-fernvale-road-24231992,3200,731,443B Fernvale Road,False,False,HDB Flat,S$ ,2.0,2.0,/mo,2010.0,Partially Furnished,D28
MARGARET VILLE,https://www.propertyguru.com.sg/listing/24234374/for-rent-margaret-ville,4500,463,20 Margaret Dr,False,False,Apartment,S$ ,1.0,1.0,/mo,2021.0,Partially Furnished,D03
THE REGENCY AT TIONG BAHRU,https://www.propertyguru.com.sg/listing/24137715/for-rent-the-regency-at-tiong-bahru,8500,1636,36 Chay Yan Street,False,False,Condominium,S$ ,4.0,4.0,/mo,2010.0,Partially Furnished,D03
48 LOWER DELTA ROAD,https://www.propertyguru.com.sg/listing/hdb-for-rent-48-lower-delta-road-24254049,2600,452,48 Lower Delta Road,False,False,HDB Flat,S$ ,1.0,1.0,/mo,1964.0,Fully Furnished,D03
MARGARET VILLE,https://www.propertyguru.com.sg/listing/23795471/for-rent-margaret-ville,4488,527,20 Margaret Dr,False,False,Condominium,S$ ,1.0,1.0,/mo,2021.0,Partially Furnished,D03
COMMONWEALTH TOWERS,https://www.propertyguru.com.sg/listing/23606715/for-rent-commonwealth-towers,5000,689,232 Commonwealth Avenue,False,False,Condominium,S$ ,2.0,2.0,/mo,2017.0,Partially Furnished,D03
QUEENS PEAK,https://www.propertyguru.com.sg/listing/22934489/for-rent-queens-peak,6000,850,1 Dundee Road,False,False,Condominium,S$ ,3.0,2.0,/mo,2020.0,Partially Furnished,D03
CENTRAL GREEN,https://www.propertyguru.com.sg/listing/24253882/for-rent-central-green,2000,130,1 Jalan Membina,False,True,Condominium,S$ ,,,/mo,1995.0,Fully Furnished,D03
RIVER PLACE,https://www.propertyguru.com.sg/listing/12346114/for-rent-river-place,4800,786,60 Havelock Road,False,False,Condominium,S$ ,1.0,1.0,/mo,2000.0,Fully Furnished,D03
MERAPRIME,https://www.propertyguru.com.sg/listing/24207274/for-rent-meraprime,7800,1173,301 Jalan Bukit Ho Swee,False,False,Condominium,S$ ,3.0,3.0,/mo,2006.0,Fully Furnished,D03
HIGHLINE RESIDENCES,https://www.propertyguru.com.sg/listing/24155210/for-rent-highline-residences,2900,250,1 Kim Tian Road,False,False,Condominium,S$ ,1.0,1.0,/mo,2018.0,Fully Furnished,D03
STUDIO 261,https://www.propertyguru.com.sg/listing/24110599/for-rent-studio-261,4250,217,Outram Road,True,False,Apartment,S$ ,,,/mo,,Fully Furnished,D03
ALEXIS,https://www.propertyguru.com.sg/listing/24216419/for-rent-alexis,4500,764,356 Alexandra Road,False,False,Condominium,S$ ,1.0,1.0,/mo,2014.0,Fully Furnished,D03
COMMONWEALTH TOWERS,https://www.propertyguru.com.sg/listing/22088786/for-rent-commonwealth-towers,4350,441,232 Commonwealth Avenue,False,False,Condominium,S$ ,1.0,1.0,/mo,2017.0,Fully Furnished,D03
ALEXIS,https://www.propertyguru.com.sg/listing/23278457/for-rent-alexis,4800,1033,356 Alexandra Road,False,False,Condominium,S$ ,2.0,2.0,/mo,2014.0,Fully Furnished,D03
133 JALAN BUKIT MERAH,https://www.propertyguru.com.sg/listing/hdb-for-rent-133-jalan-bukit-merah-24232978,4200,635,133 Jalan Bukit Merah,False,False,HDB Flat,S$ ,2.0,1.0,/mo,1983.0,Fully Furnished,D03
QUEENS PEAK,https://www.propertyguru.com.sg/listing/23155422/for-rent-queens-peak,5300,624,1 Dundee Road,False,False,Condominium,S$ ,2.0,1.0,/mo,2020.0,Partially Furnished,D03
CENTRAL GREEN CONDOMINIUM,https://www.propertyguru.com.sg/listing/24206006/for-rent-central-green-condominium,2300,150,1 JALAN MEMBINA,False,False,Condominium,S$ ,1.0,,/mo,1995.0,Partially Furnished,D03
QUEENS PEAK,https://www.propertyguru.com.sg/listing/24253436/for-rent-queens-peak,4400,444,1 Dundee Road,False,False,Condominium,S$ ,1.0,1.0,/mo,2020.0,Fully Furnished,D03
THE METROPOLITAN CONDOMINIUM,https://www.propertyguru.com.sg/listing/14641467/for-rent-the-metropolitan-condominium,12900,1755,8 Alexandra View,False,False,Condominium,S$ ,4.0,3.0,/mo,2009.0,Partially Furnished,D03
QUEENS PEAK,https://www.propertyguru.com.sg/listing/24170090/for-rent-queens-peak,7900,1000,1 Dundee Road,False,False,Condominium,S$ ,3.0,3.0,/mo,2020.0,Partially Furnished,D03
PARC CENTENNIAL,https://www.propertyguru.com.sg/listing/23824603/for-rent-parc-centennial,11999,2885,100 Kampong Java Road,False,False,Condominium,S$ ,4.0,6.0,/mo,2011.0,Partially Furnished,D09
ASPEN HEIGHTS,https://www.propertyguru.com.sg/listing/23695657/for-rent-aspen-heights,8500,1324,261 River Valley Road,False,False,Condominium,S$ ,3.0,3.0,/mo,1998.0,Partially Furnished,D09
SCOTTS SQUARE,https://www.propertyguru.com.sg/listing/23302861/for-rent-scotts-square,8900,947,6 Scotts Road,False,False,Apartment,S$ ,2.0,2.0,/mo,2011.0,Fully Furnished,D09
THE LIGHT @ CAIRNHILL,https://www.propertyguru.com.sg/listing/24205237/for-rent-the-light-cairnhill,10000,1658,19 Cairnhill Circle,False,False,Condominium,S$ ,3.0,3.0,/mo,2004.0,Partially Furnished,D09
VILLE ROYALE,https://www.propertyguru.com.sg/listing/24229833/for-rent-ville-royale,7800,1119,312 River Valley Road,False,False,Apartment,S$ ,3.0,2.0,/mo,1993.0,Partially Furnished,D09
THE PEAK @ CAIRNHILL II,https://www.propertyguru.com.sg/listing/24094764/for-rent-the-peak-cairnhill-ii,6500,904,61 Cairnhill Circle,False,False,Apartment,S$ ,2.0,2.0,/mo,2015.0,Partially Furnished,D09
THE MKZ,https://www.propertyguru.com.sg/listing/19587063/for-rent-the-mkz,5000,700,131 Mackenzie Road,False,False,Apartment,S$ ,3.0,2.0,/mo,2017.0,Fully Furnished,D09
MARTIN MODERN,https://www.propertyguru.com.sg/listing/24236686/for-rent-martin-modern,8100,764,8 Martin Place,False,False,Apartment,S$ ,2.0,2.0,/mo,2021.0,Partially Furnished,D09
BRAND NEW 4 BEDROOM SHOWFLAT UNIT FOR RENT,https://www.propertyguru.com.sg/listing/24172443/for-rent-brand-new-4-bedroom-showflat-unit-for-rent,30000,2842,,False,False,Condominium,S$ ,4.0,5.0,/mo,2011.0,Fully Furnished,D09
ONE DEVONSHIRE,https://www.propertyguru.com.sg/listing/24237366/for-rent-one-devonshire,1900,70,1 Devonshire Road,False,True,Condominium,S$ ,,,/mo,2012.0,Fully Furnished,D09
UE SQUARE,https://www.propertyguru.com.sg/listing/24237374/for-rent-ue-square,2200,200,83 Clemenceau Avenue,False,True,Apartment,S$ ,,,/mo,,Fully Furnished,D09
THE SCOTTS TOWER,https://www.propertyguru.com.sg/listing/24237197/for-rent-the-scotts-tower,6800,904,38 Scotts Road,False,False,Condominium,S$ ,2.0,2.0,/mo,2016.0,Partially Furnished,D09
ONE DEVONSHIRE,https://www.propertyguru.com.sg/listing/23859299/for-rent-one-devonshire,1900,120,1 Devonshire Road,False,True,Condominium,S$ ,,,/mo,2012.0,Fully Furnished,D09
ESPADA,https://www.propertyguru.com.sg/listing/24230948/for-rent-espada,3900,355,48 Saint Thomas Walk,False,False,Condominium,S$ ,1.0,1.0,/mo,2013.0,Fully Furnished,D09
THE SCOTTS TOWER,https://www.propertyguru.com.sg/listing/20672414/for-rent-the-scotts-tower,6800,904,38 Scotts Road,False,False,Condominium,S$ ,2.0,2.0,/mo,2016.0,Partially Furnished,D09
CAIRNHILL ROAD - ORCHARD,https://www.propertyguru.com.sg/listing/24129249/for-rent-cairnhill-road-orchard,11000,640,Cairnhill Road,False,False,Apartment,S$ ,1.0,1.0,/mo,,Fully Furnished,D09
CAIRNHILL ROAD - ORCHARD,https://www.propertyguru.com.sg/listing/24129253/for-rent-cairnhill-road-orchard,13500,860,Cairnhill Road,False,False,Apartment,S$ ,2.0,2.0,/mo,,Fully Furnished,D09
THE MKZ,https://www.propertyguru.com.sg/listing/24236887/for-rent-the-mkz,6000,732,131 Mackenzie Road,False,False,Apartment,S$ ,3.0,2.0,/mo,2017.0,Fully Furnished,D09
THE SCOTTS TOWER,https://www.propertyguru.com.sg/listing/23688198/for-rent-the-scotts-tower,6800,904,38 Scotts Road,False,False,Condominium,S$ ,2.0,2.0,/mo,2016.0,Partially Furnished,D09
HILLTOPS,https://www.propertyguru.com.sg/listing/23589346/for-rent-hilltops,15000,1550,101 Cairnhill Circle,False,False,Condominium,S$ ,3.0,3.0,/mo,2011.0,Partially Furnished,D09
SIMS URBAN OASIS,https://www.propertyguru.com.sg/listing/24252625/for-rent-sims-urban-oasis,5600,818,2 Sims Drive,False,False,Condominium,S$ ,3.0,2.0,/mo,2017.0,Fully Furnished,D14
"319 CHANGI RD, SINGAPORE 419794",https://www.propertyguru.com.sg/listing/24252784/for-rent-319-changi-rd-singapore-419794,2300,300,,True,False,Walk-up Apartment,S$ ,,,/mo,,Partially Furnished,D14
