project_id,rent,low_area_sqm,high_area_sqm,low_area_sqft,high_area_sqft,lease_date,no_of_bedrooms,street_name,project_name,district,property_type,longitude,latitude,id,category_name
888,3800,90,100,1000,1100,2022-08-01,2,JURONG EAST AVENUE 1,PARC OASIS,22,1,103.73410118919192,1.343072830069139,1,Non-landed Properties
975,3300,90,100,1000,1100,2022-08-01,2,FARRER DRIVE,SOMMERVILLE PARK,10,1,103.80698616204458,1.3122491610669309,1,Non-landed Properties
1045,3300,90,100,1000,1100,2022-08-01,3,CASHEW ROAD,ESPA,23,1,103.7653878910988,1.3691072332586041,1,Non-landed Properties
90,5000,90,100,1000,1100,2022-08-01,2,GRANGE ROAD,SPRING GROVE,10,1,103.82732802844438,1.2978647498439719,1,Non-landed Properties
131,5200,90,100,1000,1100,2022-08-01,2,KHIANG GUAN AVENUE,LINCOLN SUITES,11,1,103.84276499209864,1.31709227052966,1,Non-landed Properties
131,5500,90,100,1000,1100,2022-08-01,2,KHIANG GUAN AVENUE,LINCOLN SUITES,11,1,103.84276499209864,1.31709227052966,1,Non-landed Properties
215,3000,90,100,1000,1100,2022-08-01,2,EASTWOOD ROAD,EASTWOOD GREEN,16,1,103.954741499799,1.32235926711929,1,Non-landed Properties
351,3200,90,100,1000,1100,2022-08-01,2,HILLVIEW RISE,KINGSFORD . HILLVIEW PEAK,23,1,103.764220044808,1.3648069360274331,1,Non-landed Properties
255,3100,90,100,1000,1100,2022-08-01,2,HUME AVENUE,SYMPHONY HEIGHTS,21,1,103.76643259588636,1.3562011923388388,1,Non-landed Properties
283,5000,90,100,1000,1100,2022-08-01,3,SIMEI STREET 3,MY MANHATTAN,18,1,103.95362988207526,1.3415989313719658,1,Non-landed Properties
444,4000,90,100,1000,1100,2022-08-01,2,BAYSHORE ROAD,BAYSHORE PARK,16,1,103.936679051732,1.311561653755936,1,Non-landed Properties
544,4500,90,100,1000,1100,2022-08-01,2,SUFFOLK ROAD,SUFFOLK PREMIER,11,1,103.844643938209,1.31421743411816,1,Non-landed Properties
584,2900,90,100,1000,1100,2022-08-01,2,FLORA ROAD,THE GALE,17,1,103.96711388510759,1.358709781017774,1,Non-landed Properties
2972,4100,90,100,1000,1100,2022-08-01,3,WEST COAST VALE,PARC RIVIERA,5,1,103.752939923252,1.32073636250797,1,Non-landed Properties
849,3200,90,100,1000,1100,2022-08-01,2,GEYLANG EAST AVENUE 1,CENTRAL GROVE,14,1,103.88445046172733,1.3160372914105665,1,Non-landed Properties
1210,5400,90,100,1000,1100,2022-08-01,3,DERBYSHIRE ROAD,6 DERBYSHIRE,11,1,103.845880417376,1.31568172551155,1,Non-landed Properties
200,3600,90,100,1000,1100,2022-08-01,3,KOVAN RISE,KOVAN REGENCY,19,1,103.88507540075908,1.3635011396912469,1,Non-landed Properties
392,4000,90,100,1000,1100,2022-08-01,2,LORONG MYDIN,ASTORIA PARK,14,1,103.91205773348732,1.3214740044625148,1,Non-landed Properties
3028,6000,90,100,1000,1100,2022-08-01,3,WEST COAST VALE,TWIN VEW,5,1,103.75244288569267,1.3198599211479567,1,Non-landed Properties
655,4700,90,100,1000,1100,2022-08-01,2,NEWTON ROAD,L'VIV,11,1,103.8403560837985,1.31543307118926,1,Non-landed Properties
762,3500,90,100,1000,1100,2022-08-01,2,BEDOK SOUTH AVENUE 1,CASAFINA,16,1,103.933863994484,1.3159000718835074,1,Non-landed Properties
1014,4700,90,100,1000,1100,2022-08-01,3,TAMPINES AVENUE 8,ARC AT TAMPINES,18,5,103.9283730614587,1.3502782141435581,5,Executive Condominium
42,4300,90,100,1000,1100,2022-08-01,2,AMBER GARDENS,THE ESTA,15,1,103.90001056522314,1.3021762820410856,1,Non-landed Properties
326,3300,90,100,1000,1100,2022-08-01,3,MERGUI ROAD,PRISTINE HEIGHTS,8,1,103.851897869202,1.31694386323086,1,Non-landed Properties
632,3300,90,100,1000,1100,2022-08-01,2,TANAH MERAH KECHIL AVENUE,OPTIMA @ TANAH MERAH,16,1,103.94657667707168,1.3281651065070057,1,Non-landed Properties
2039,5500,90,100,1000,1100,2022-08-01,3,WEST COAST ROAD,THE STELLAR,5,1,103.76783995781628,1.293737103719125,1,Non-landed Properties
1034,4500,90,100,1000,1100,2022-08-01,2,WEST COAST ROAD,CLEMENTIWOODS CONDOMINIUM,5,1,103.767710455086,1.2963370381602113,1,Non-landed Properties
1145,3700,90,100,1000,1100,2022-08-01,2,HILLVIEW AVENUE,GLENDALE PARK,23,1,103.76566962906634,1.3630457272715149,1,Non-landed Properties
885,5000,90,100,1000,1100,2022-08-01,2,FERNHILL ROAD,THE FERNHILL,10,1,103.825924514839,1.3143606173273898,1,Non-landed Properties
820,5200,90,100,1000,1100,2022-08-01,2,KEPPEL BAY VIEW,REFLECTIONS AT KEPPEL BAY,4,1,103.81166233553412,1.2667618474244471,1,Non-landed Properties
58,3500,90,100,1000,1100,2022-08-01,3,LORONG 34 GEYLANG,GEYLANG HERITAGE,14,1,103.88765041656968,1.3129508341662324,1,Non-landed Properties
293,2400,90,100,1000,1100,2022-08-01,2,LORONG SARINA,THE VINES,14,1,103.9080600934125,1.3194133817305049,1,Non-landed Properties
491,6200,90,100,1000,1100,2022-08-01,3,ALEXANDRA VIEW,ECHELON,3,1,103.81806335334576,1.2907831673967225,1,Non-landed Properties
475,3500,90,100,1000,1100,2022-08-01,1,UPPER SERANGOON ROAD,SUITES @ KOVAN,19,1,103.886842699845,1.36209374006757,1,Non-landed Properties
586,3600,90,100,1000,1100,2022-08-01,2,SIMEI STREET 4,DOUBLE BAY RESIDENCES,18,1,103.95645312854272,1.340422171953441,1,Non-landed Properties
639,3700,90,100,1000,1100,2022-08-01,3,KENG LEE ROAD,KENG LEE COURT,8,1,103.84739209596766,1.3128805993409298,1,Non-landed Properties
3060,7188,90,100,1000,1100,2022-08-01,99,STIRLING ROAD,STIRLING RESIDENCES,3,1,103.80506706812899,1.29161981074384,1,Non-landed Properties
1548,2600,90,100,1000,1100,2022-08-01,2,EASTWOOD ROAD,EASTWOOD CENTRE,16,1,103.955535617961,1.32154249881548,1,Non-landed Properties
99,2600,90,100,1000,1100,2022-08-01,3,LENGKONG TUJOH,VACANZA @ EAST,14,1,103.91489908978288,1.3293501444371365,1,Non-landed Properties
1098,3000,90,100,1000,1100,2022-08-01,99,COMPASSVALE BOW,THE QUARTZ,19,1,103.8938211728066,1.3806827472868428,1,Non-landed Properties
655,5800,90,100,1000,1100,2022-08-01,2,NEWTON ROAD,L'VIV,11,1,103.8403560837985,1.31543307118926,1,Non-landed Properties
